content,link
"🔔 Alert Idea: Transaction Counts (30D-SMA) breaking above 379k would be an all-time-high, breaking the previous peak set at the Dec-2017 market top.",https://studio.glassnode.com/metrics?a=BTC&category=&ema=0&m=transactions.Count&mAvg=30&mMedian=0
"🔔 Alert Idea: New Entities (30D-SMA) breaking above 378.5k would be an all-time-high, breaking the previous peak set at the Dec-2017 market top.",https://studio.glassnode.com/metrics?a=BTC&category=&ema=0&m=entities.ActiveCount&mAvg=30&mMedian=0
"🔔 Alert Idea: MVRV breaking above 1.82 would signal a return to the all-time-average, which has historically defined the boundary between early-to-late bull and bear markets.",https://studio.glassnode.com/metrics?a=BTC&category=&m=market.Mvrv
"🔔 Alert Idea: New Addresses (30 SMA) breaking above 408k (365 SMA)  would signal an uptick in on-chain activity, suggesting potential market strength and demand recovery.",https://studio.glassnode.com/metrics?a=BTC&ema=0&m=addresses.ActiveCount&mAvg=365&mMedian=0&s=1621123447&u=1661126400&zoom=?&utm_source=gn_insights&utm_medium=insights_woc&utm_campaign=woc_34_2022
"🔔 Alert Idea: Percent Miner Revenue From Fees (30 SMA) breaking above 2.5%  would signal an uptick in on-chain activity, suggesting potential market strength and demand recovery.",https://studio.glassnode.com/metrics?a=BTC&category=&chartStyle=column&ema=0&m=mining.RevenueFromFees&mAvg=30&mMedian=0&s=1503491561&u=1661171561&zoom=1825&utm_source=gn_insights&utm_medium=insights_woc&utm_campaign=woc_34_2022
"🔔 Alert Idea: Net Realized Profit/Loss (90 SMA) breaking above Zero would signal an uptick in on-chain activity, suggesting potential market strength and demand recovery.",https://studio.glassnode.com/metrics?a=BTC&category=&ema=0&m=indicators.NetRealizedProfitLoss&mAvg=90&mMedian=0&s=1503509061&u=1661189061&zoom=1825&utm_source=gn_insights&utm_medium=insights_woc&utm_campaign=woc_34_2022
"🔔 Alert Idea: STH-SOPR (90 SMA) breaking above 1.0 would signal an uptick in on-chain profitability, suggesting potential market strength and demand recovery.",https://studio.glassnode.com/metrics?a=BTC&category=&ema=0&m=indicators.SoprLess155&mAvg=90&mMedian=0&s=1503491993&u=1661171993&zoom=1825&utm_source=gn_insights&utm_medium=insights_woc&utm_campaign=woc_34_2022
"🔔 Alert Idea: Active Entities (7DMA) breaking below 230k/day could signal a deterioration in on-chain activity, whilst a break above 250k/day could signal an influx of new user demand.",https://studio.glassnode.com/metrics?a=BTC&category=&chartStyle=line&ema=0&m=entities.ActiveCount&mAvg=7&mMedian=0&resolution=24h&s=1451693873&u=1661731200&zoom=&utm_source=gn_insights&utm_medium=insights_woc&utm_campaign=woc_35_2022
"🔔 Alert Idea: Net Realized Profit/Loss (30DMA) breaking above Zero would signal that net spending is back in profit, suggesting potential market strength and demand recovery.",https://studio.glassnode.com/metrics?a=BTC&category=&chartStyle=column&ema=0&m=indicators.NetRealizedProfitLoss&mAvg=7&mMedian=0&resolution=24h&s=1598671505&u=1661743505&zoom=730&utm_source=gn_insights&utm_medium=insights_woc&utm_campaign=woc_35_2022
"🔔 Alert Idea: aSOPR (7DMA) breaking above 1.0 would signal that aggregate spending is back in profit, suggesting potential market strength and demand recovery.",https://studio.glassnode.com/metrics?a=BTC&category=&chartStyle=line&ema=0&m=indicators.SoprAdjusted&mAvg=7&mMedian=0&resolution=24h&s=1598671505&u=1661743505&zoom=730&utm_source=gn_insights&utm_medium=insights_woc&utm_campaign=woc_35_2022
"🔔 Alert Idea: LTH-SOPR (7DMA) breaking above 1.0 would signal that Long-Term Holder spending is back in profit, suggesting potential market strength and demand recovery.",https://studio.glassnode.com/metrics?a=BTC&category=&chartStyle=line&ema=0&m=indicators.SoprMore155&mAvg=7&mMedian=0&resolution=24h&s=1504063646&u=1661743646&zoom=1825&utm_source=gn_insights&utm_medium=insights_woc&utm_campaign=woc_35_2022
"🔔 Alert Idea: aSOPR (7D-SMA) breaking above 1.0 could signal an improvement in market profitability, and is an early signal of a potential market recovery.",https://studio.glassnode.com/metrics?a=BTC&category=&chartStyle=line&ema=0&m=entities.ActiveCount&mAvg=7&mMedian=0&resolution=24h&s=1451693873&u=1661731200&zoom=&utm_source=gn_insights&utm_medium=insights_woc&utm_campaign=woc_35_2022
"🔔 Alert Idea: STH-SOPR (7D-SMA) breaking above 1.0 could signal an improvement in market profitability, and is an early signal of a potential market recovery.",https://studio.glassnode.com/metrics?a=BTC&category=&chartStyle=line&ema=0&m=entities.ActiveCount&mAvg=7&mMedian=0&resolution=24h&s=1451693873&u=1661731200&zoom=&utm_source=gn_insights&utm_medium=insights_woc&utm_campaign=woc_35_2022
"🔔 Alert Idea: LTH-SOPR (7D-SMA) breaking below 0.50 could indicate a further flush out of the LTH cohort, with less than 3% of trading days seeing larger average LTH losses.",https://studio.glassnode.com/metrics?a=BTC&category=&chartStyle=line&ema=0&m=entities.ActiveCount&mAvg=7&mMedian=0&resolution=24h&s=1451693873&u=1661731200&zoom=&utm_source=gn_insights&utm_medium=insights_woc&utm_campaign=woc_35_2022
"🔔 Alert Idea: Realized Profit/Loss Ratio (30DMA) breaking above 1.0 could signal recovery of investor profitability, and signal a constructive influx of new demand.",https://studio.glassnode.com/metrics?a=BTC&category=&chartStyle=line&ema=0&m=indicators.RealizedProfitLossRatio&mAvg=30&mMedian=0&utm_campaign=woc_37_2022&utm_medium=insights_woc&utm_source=gn_insights&zoom=all
🔔 Alert Idea: Short-Term Holder SOPR and/or aSOPR breaking above 1.0 could signal a recovery of investor profitability and an improvement in underlying market strength.,https://studio.glassnode.com/metrics?a=BTC&category=&ema=0&m=indicators.SoprLess155&mAvg=7&mMedian=0&s=1504895726&u=1662575726&zoom=1825&utm_source=gn_insights&utm_medium=insights_woc&utm_campaign=woc_37_2022
"🔔 Alert Idea: Short-Term Holder Supply Profit/Loss Ratio breaking above 1.0 could signal a recovery of investor profitability, and an improvement in underlying market strength.",https://studio.glassnode.com/metrics?a=BTC&category=&ema=0&m=supply.SthProfitLossRatio&mAvg=0&mMedian=0&s=1504895726&u=1662575726&zoom=1825&utm_source=gn_insights&utm_medium=insights_woc&utm_campaign=woc_37_2022
"🔔 Alert Idea: Long-Term Holder SOPR breaking above 1.0 could signal a recovery of investor profitability, and an improvement in underlying market strength.",https://studio.glassnode.com/metrics?a=BTC&category=&ema=0&m=indicators.SoprMore155&mAvg=7&mMedian=0&s=1504895726&u=1662575726&zoom=1825&utm_source=gn_insights&utm_medium=insights_woc&utm_campaign=woc_37_2022
"🔔 Alert Idea:New Addresses (30D-SMA) breaking above 410k would signal an improvement in momentum, and an early signal of a potential market recovery.",https://studio.glassnode.com/metrics?a=BTC&category=&ema=0&m=addresses.NewNonZeroCount&mAvg=30&mMedian=0&resolution=24h&s=1400507346&u=1666572673&zoom=&utm_source=gn_insights&utm_medium=insights_woc&utm_campaign=woc_43_2022
"🔔 Alert Idea: Non-Zero Balance Address Count breaking below 42.6M would signal a significant purge of wallets is underway, and may signal distribution and market weakness.",https://studio.glassnode.com/metrics?a=BTC&category=&ema=0&m=addresses.NonZeroCount&mAvg=0&mMedian=0&resolution=24h&s=1400507346&u=1666572673&zoom=&utm_source=gn_insights&utm_medium=insights_woc&utm_campaign=woc_43_2022
"🔔 Alert Idea: Change-Adjusted Transfer Volume (7D-EMA) breaking below $18B would signal a notable decline in network settlement throughput, and may signal further market weakness.",https://studio.glassnode.com/metrics?a=BTC&c=usd&category=&ema=7&m=transactions.TransfersVolumeAdjustedSum&mAvg=0&mMedian=0&s=1508884553&u=1666564553&zoom=1825&utm_source=gn_insights&utm_medium=insights_woc&utm_campaign=woc_43_2022
